,date,ConsumerPriceIndexAllItems
180,1970-02-01,0.5291005291005311
181,1970-03-01,0.5263157894736861
182,1970-04-01,0.785340314136129
183,1970-05-01,0.259740259740261
184,1970-06-01,0.518134715025909
185,1970-07-01,0.515463917525775
186,1970-08-01,0.0
187,1970-09-01,0.512820512820515
188,1970-10-01,0.5102040816326551
189,1970-11-01,0.5076142131979551
190,1970-12-01,0.5050505050505071
191,1971-01-01,0.0
192,1971-02-01,0.251256281407036
193,1971-03-01,0.250626566416041
194,1971-04-01,0.250000000000001
195,1971-05-01,0.498753117206985
196,1971-06-01,0.7444168734491341
197,1971-07-01,0.2463054187191969
198,1971-08-01,0.2457002457002469
199,1971-09-01,0.0
200,1971-10-01,0.2450980392156869
201,1971-11-01,0.0
202,1971-12-01,0.4889975550122271
203,1972-01-01,0.0
204,1972-02-01,0.486618004866182
205,1972-03-01,0.242130750605328
206,1972-04-01,0.241545893719808
207,1972-05-01,0.240963855421688
208,1972-06-01,0.240384615384616
209,1972-07-01,0.479616306954438
210,1972-08-01,0.238663484486859
211,1972-09-01,0.238095238095239
212,1972-10-01,0.475059382422805
213,1972-11-01,0.2364066193853439
214,1972-12-01,0.2358490566037749
215,1973-01-01,0.23529411764706
216,1973-02-01,0.704225352112679
217,1973-03-01,0.932400932400936
218,1973-04-01,0.6928406466512729
219,1973-05-01,0.6880733944954159
220,1973-06-01,0.6833712984054549
221,1973-07-01,0.2262443438914039
222,1973-08-01,1.80586907449211
223,1973-09-01,0.2217294900221739
224,1973-10-01,0.884955752212393
225,1973-11-01,0.657894736842108
226,1973-12-01,0.653594771241818
227,1974-01-01,0.865800865800869
228,1974-02-01,1.2875536480686598
229,1974-03-01,1.2711864406779698
230,1974-04-01,0.418410041841006
231,1974-05-01,1.24999999999999
232,1974-06-01,0.823045267489716
233,1974-07-01,0.8163265306122479
234,1974-08-01,1.21457489878543
235,1974-09-01,1.19999999999999
236,1974-10-01,0.9881422924901228
237,1974-11-01,0.7827788649706491
238,1974-12-01,0.776699029126217
239,1975-01-01,0.3853564547206179
240,1975-02-01,0.7677543186180329
241,1975-03-01,0.380952380952383
242,1975-04-01,0.379506641366226
243,1975-05-01,0.567107750472592
244,1975-06-01,0.751879699248124
245,1975-07-01,1.11940298507463
246,1975-08-01,0.184501845018451
247,1975-09-01,0.5524861878452939
248,1975-10-01,0.549450549450552
249,1975-11-01,0.7285974499089279
250,1975-12-01,0.361663652802895
251,1976-01-01,0.180180180180181
252,1976-02-01,0.359712230215829
253,1976-03-01,0.179211469534051
254,1976-04-01,0.357781753130592
255,1976-05-01,0.7130124777183391
256,1976-06-01,0.530973451327436
257,1976-07-01,0.5281690140845089
258,1976-08-01,0.525394045534141
259,1976-09-01,0.34843205574913
260,1976-10-01,0.5208333333333359
261,1976-11-01,0.172711571675303
262,1976-12-01,0.344827586206898
263,1977-01-01,0.515463917525775
264,1977-02-01,1.02564102564103
265,1977-03-01,0.676818950930618
266,1977-04-01,0.840336134453785
267,1977-05-01,0.500000000000002
268,1977-06-01,0.6633499170812629
269,1977-07-01,0.4942339373970371
270,1977-08-01,0.327868852459018
271,1977-09-01,0.326797385620916
272,1977-10-01,0.3257328990228029
273,1977-11-01,0.487012987012989
274,1977-12-01,0.323101777059775
275,1978-01-01,0.6441223832528
276,1978-02-01,0.6400000000000029
277,1978-03-01,0.7949125596184449
278,1978-04-01,0.788643533123032
279,1978-05-01,0.938967136150239
280,1978-06-01,1.08527131782946
281,1978-07-01,0.7668711656441751
282,1978-08-01,0.4566210045662121
283,1978-09-01,0.7575757575757409
284,1978-10-01,0.902255639097748
285,1978-11-01,0.447093889716842
