,date,RealPotentialGDP
0,1949-01-01,2256.0845794522143
1,1949-04-01,2288.07974473432
2,1949-07-01,2321.232738068765
3,1949-10-01,2352.503145106597
4,1950-01-01,2384.66243643569
5,1950-04-01,2415.880535553454
6,1950-07-01,2446.3877187181947
7,1950-10-01,2477.671444439419
8,1951-01-01,2509.060951188673
9,1951-04-01,2540.4186636221148
10,1951-07-01,2573.573193946175
11,1951-10-01,2609.0085085583246
12,1952-01-01,2646.2990340311985
13,1952-04-01,2686.994429785641
14,1952-07-01,2726.124782328452
15,1952-10-01,2763.161132321586
16,1953-01-01,2795.842643882583
17,1953-04-01,2824.5491669373127
18,1953-07-01,2848.9003401564823
19,1953-10-01,2869.7430233376813
20,1954-01-01,2889.0972098170605
21,1954-04-01,2906.8303024884717
22,1954-07-01,2923.9749179838946
23,1954-10-01,2941.999752878005
24,1955-01-01,2959.7761996380686
25,1955-04-01,2979.062096651661
26,1955-07-01,2998.026311752977
27,1955-10-01,3017.709772089412
28,1956-01-01,3037.4598942797747
29,1956-04-01,3056.686363127972
30,1956-07-01,3076.747558063285
31,1956-10-01,3098.079553748381
32,1957-01-01,3121.45876878156
33,1957-04-01,3146.9588594571783
34,1957-07-01,3173.926339071424
35,1957-10-01,3202.0484646123937
36,1958-01-01,3230.017116009108
37,1958-04-01,3258.4537581152504
38,1958-07-01,3287.085802823637
39,1958-10-01,3317.432391075252
40,1959-01-01,3348.864175658735
41,1959-04-01,3382.3844990501893
42,1959-07-01,3418.320069273353
43,1959-10-01,3454.772478769151
44,1960-01-01,3491.809423344375
45,1960-04-01,3527.8518161158336
46,1960-07-01,3563.319768486865
47,1960-10-01,3597.5104219553687
48,1961-01-01,3631.0973455617295
49,1961-04-01,3662.763437332922
50,1961-07-01,3695.587694750991
51,1961-10-01,3729.378782068824
52,1962-01-01,3765.797811774551
53,1962-04-01,3805.3125821851854
54,1962-07-01,3847.253305997749
55,1962-10-01,3890.376304042204
56,1963-01-01,3933.55516118128
57,1963-04-01,3976.3379327836983
58,1963-07-01,4018.959695297157
59,1963-10-01,4062.06655803723
60,1964-01-01,4105.435953036787
61,1964-04-01,4150.330841843084
62,1964-07-01,4196.177090748073
63,1964-10-01,4242.341352210441
64,1965-01-01,4289.638061974458
