PC1,PC2,PC3,FEDRates
-2.366368457995799,2.3958003849556593,1.1903075135173244,8.53
-2.1685820091180483,1.1806649642509979,1.4983552201934909,7.13
-2.2791076840784754,1.888371615792757,1.5614084542879851,6.24
-2.1718736535626464,1.1560941325274623,1.7752245722252606,5.54
-2.1600038867559803,1.150849924522484,1.8853592662112457,5.49
-2.216052661194504,1.4914766605543799,2.0273308558312904,5.22
-2.2676320600412687,1.84000359089511,1.9467595192090206,5.55
-2.3446839834285353,2.5351997065943515,1.8949696057888659,6.1
-2.0726406961628325,0.8115390874484435,1.6297763974336754,6.14
-2.179000385129916,1.4925705253009405,1.690452999219281,6.24
-2.15541279628252,1.4939355444063798,1.6888130955543457,5.82
-2.2062792830509235,1.8287681190594414,1.6628333570045049,5.22
-2.099310323078028,1.152964969950793,1.5468108715965099,5.2
-1.8195413345976317,0.025887312465261256,1.1221039810841862,4.87
-1.8696062287893567,0.3647167221299446,1.0406686423503193,4.77
-1.8165226043036917,0.03394661949241233,0.9553869298347157,4.84
-1.8551333890131771,0.3653521038474847,1.0397059686436783,4.82
-1.9550681182351846,1.0326324301062162,0.9317223165435132,5.29
-1.9042786246669088,0.6891633401258814,1.012744282238665,5.48
-1.8940963032928269,0.6807390520783136,1.1227319013705954,5.31
-1.8932942452768708,0.6756033965573891,1.1222743393438939,5.29
-1.84032052944875,0.35466656002840785,0.982057024379809,5.25
-1.876626345738582,0.674796812289016,1.0651695729205124,5.02
-1.7769205155829284,0.027241169584445165,1.0632872011261256,4.95
-1.826667756542168,0.34577759413294906,1.0916672533708303,4.65
-1.8934048694438939,0.8590284880390365,1.002588371387473,4.61
-2.0417759007346046,1.7999331284501758,1.1422301153589978,4.68
-1.939128916098078,1.1609335182523894,0.9736749481489397,4.69
-1.9509485692611048,1.4805425650681887,0.887968724579343,4.73
-1.8507543030183964,0.8572479494093194,0.7208127962982356,5.35
-1.8997936780323228,1.152992818871512,0.8587856290417527,5.39
-1.8166948445999007,0.8595939293039054,0.6628256609245387,5.42
-1.7695227267623495,0.5484167583979807,0.6909129813472059,5.9
-1.7673872101064525,0.5530018580116128,0.5796980938688292,6.14
-1.762692510859529,0.552163960958084,0.579041278532458,6.47
-1.809307809389477,0.85064625337621,0.6056346047586576,6.51
-1.7582803749292235,0.5604306663889427,0.35653100665551424,6.56
-1.9044734897399653,1.4271511158614374,0.4842219992941009,6.7
-1.9023690705643823,1.422805825387916,0.42802315614363623,6.78
-1.9471439420481544,1.7095036843454694,0.45356654643940236,6.79
-1.8767725922004108,1.7253392700850745,0.3381719222280042,6.89
-1.9193081893276014,2.0068283477230033,0.30743953652218886,7.36
-1.9606820402752794,2.2808786515290747,0.27604439210586207,7.6
-1.8505068932021924,1.6881049423364354,0.3889199465188116,7.81
-1.7580955582704592,1.1237747034643186,0.17120575972991675,8.04
-1.8459943845671738,1.6774699310130565,0.27634902089134467,8.45
-1.8585542123178398,1.9602031539507874,0.18758590081887722,8.96
-1.7279102729106133,1.1145477872562632,0.16805380333153402,9.76
-1.7282480011555634,1.107580783791973,0.2232447758957141,10.03
-2.0478600775811424,2.7956788091890163,0.4814743421542607,10.07
-2.1302461417939487,3.323204794971283,0.528474351833406,10.06
-2.083585496138372,3.0335616507747907,0.44685685207110654,10.09
-2.1144107915845507,3.2820404968438703,0.4680397948349464,10.01
-2.1497707407063635,3.5267127123520026,0.3782155062559707,10.24
-2.105621525175962,3.234891479064161,0.40802734694857323,10.29
-2.0844127001901436,3.217281626100485,0.4047623408930626,10.47
-2.04411198467297,2.931843692318919,0.5467663002880842,10.94
-2.079738213827956,3.1690914145104396,0.512092224143804,11.43
-1.9914319852240836,2.650513930672503,0.5207558670390037,13.77
-2.0270995515438663,2.888026338752553,0.48610537312509333,13.18
-2.063611926472811,3.1126891180025713,0.5619334371747423,13.78
-2.2937388285123315,4.357713343992894,0.943291879059963,13.82
-2.287878011964864,4.320185965349029,0.9399483714280515,14.13
-2.3188134655024903,4.518268684544164,0.9575965820761719,17.19
-2.2407911844493764,3.7531081701260622,1.2262161781229235,17.61
-2.206977151551179,3.4818165655058286,1.5369156033743134,10.98
-2.2404323635384467,3.686904032961132,1.6109996019776707,9.47
-1.9226006575360595,1.6444190739417652,1.5400151196773944,9.03
-2.1313853434625543,2.9904172441335257,1.6041253369940178,9.61
-2.1627469515035758,3.209487692640265,1.512020055005619,10.87
-2.1585753949359474,3.428190346864209,1.5280435506147623,12.81
-2.121894408165504,3.1933184193066277,1.5071175997306627,15.85
-2.1510073610832974,3.4071200205321044,1.3587311901544965,18.9
-1.8994927226203098,2.410832630900318,1.287765478940773,19.08
-1.963137907867041,2.827488455349384,1.2690757955465821,15.93
-1.8614303355380166,2.1762449730075057,1.2110531562861495,14.7
-1.8663277858890395,2.1714705421217,1.0992260435670564,15.72
-1.9001861572900152,2.3608804579735243,1.2835366459150226,18.52
-1.9306024142796971,2.5556387111514267,1.300888662746726,19.1
-1.963619887657854,2.967377740942151,1.1676915648304413,19.04
-1.867301425288115,2.3323822335011735,1.2227399390596518,17.82
-1.9300812069775368,2.716108263925457,1.3685514670110808,15.87
-1.7275727741107663,1.293962881453321,1.4101020658888332,15.08
-1.7620373519677384,1.4781248859506246,1.6497568035796417,13.31
-1.7635659415341174,1.469653573125387,1.7606254482880246,12.37
-1.5533904443135782,0.4524794053681877,1.536642604257993,13.22
-1.5558357238833,0.4407482375538851,1.7030325105000366,14.78
-1.4342442716623365,-0.34694317282905274,1.6886647207076895,14.68
-1.5771678675993863,0.6259771131164195,1.9415851439151348,14.94
-1.7298481439896587,1.5944742692138518,2.08368524735952,14.45
-1.8196102679404207,2.1509708626712367,2.2448897954723837,14.15
-1.61021989770763,0.7793213838079978,2.2342323275942144,12.59
-1.5205225763693815,0.2049807072250633,2.1830613557633285,10.12
-1.5231399479224121,0.1943514611254054,2.3495494378917723,10.31
-1.5502892931092105,0.37408950512192074,2.5324989493667167,9.71
-1.406504791206133,-0.5830946927229093,2.6704652697982527,9.2
-1.3473982904642685,-0.9615593683682058,2.636745900709418,8.95
-1.3318292119495627,-0.503150857317468,2.3196664106219393,8.68
-1.2868189312484786,-0.7055624077997358,2.316613174497672,8.51
-0.9254119079288586,-1.15914696702532,2.5436688273415924,8.77
-1.3870705124966782,0.42393732446797383,2.3320564715900227,8.8
-1.0934637225398838,0.01831689123455274,2.4959558125567036,8.63
-0.6775701424342224,-0.8129725349549771,2.741732909011441,8.98
-0.9694950165469951,-0.3422351732380657,2.0865455118137572,9.37
-1.237166111297992,-0.29425043354134783,1.857332568608345,9.56
-1.2772504603957249,0.07152656041010877,1.7367565524241524,9.45
-1.1412093787533353,-0.2998836898695093,1.5078368307164753,9.48
-1.152157780463974,-0.4404889425243471,1.2862996728426843,9.34
-0.8117003768486665,-0.8681871342472213,1.4393529740349469,9.47
-1.272414560395779,0.5728469313588095,1.150517861464968,9.56
-1.1868664168863585,0.3473873417849737,1.0718988458151626,9.59
-0.9263938997455635,-0.3408530965119268,1.181628778025843,9.91
-1.1074407300895681,0.32462979336826164,1.0491586986098769,10.29
-0.7822049394852038,-0.24381493597115614,1.090671523890629,10.32
-1.0623555586076556,-0.010575045246782079,0.7241414454219546,11.06
