date,ConsumerPriceIndexAllItems,FEDRates,GDP,InflationConsumerPrice,MedianConsumerPriceIndex,RealGDP,RealGDPPerCapita,RealPotentialGDP,UnemployemenrRate
1963-12-01,0.3246753246753259,3.38,653.938,1.23966942148753,5.01465339985201,4050.147,21276.0,4062.06655803723,5.5
1964-01-01,0.0,3.48,669.822,1.27891156462591,5.01465339985201,4135.553,21657.0,4105.435953036787,5.6
1964-02-01,0.0,3.48,669.822,1.27891156462591,5.01465339985201,4135.553,21657.0,4105.435953036787,5.4
1964-03-01,0.0,3.43,669.822,1.27891156462591,5.01465339985201,4135.553,21657.0,4105.435953036787,5.4
1964-04-01,0.0,3.47,678.674,1.27891156462591,5.01465339985201,4180.592,21824.0,4150.330841843084,5.3
1964-05-01,0.0,3.5,678.674,1.27891156462591,5.01465339985201,4180.592,21824.0,4150.330841843084,5.1
1964-06-01,0.323624595469257,3.5,678.674,1.27891156462591,5.01465339985201,4180.592,21824.0,4150.330841843084,5.2
1964-07-01,0.322580645161292,3.42,692.031,1.27891156462591,5.01465339985201,4245.918,22085.0,4196.177090748073,4.9
1964-08-01,-0.32154340836013,3.5,692.031,1.27891156462591,5.01465339985201,4245.918,22085.0,4196.177090748073,5.0
1964-09-01,0.322580645161292,3.45,692.031,1.27891156462591,5.01465339985201,4245.918,22085.0,4196.177090748073,5.1
1964-10-01,0.0,3.36,697.319,1.27891156462591,5.01465339985201,4259.046,22075.0,4242.341352210441,5.1
1964-11-01,0.321543408360109,3.52,697.319,1.27891156462591,5.01465339985201,4259.046,22075.0,4242.341352210441,4.8
1964-12-01,0.0,3.85,697.319,1.27891156462591,5.01465339985201,4259.046,22075.0,4242.341352210441,5.0
1965-01-01,0.0,3.9,717.79,1.58516926383662,5.01465339985201,4362.111,22547.0,4289.638061974458,4.9
1965-02-01,0.0,3.98,717.79,1.58516926383662,5.01465339985201,4362.111,22547.0,4289.638061974458,5.1
1965-03-01,0.320512820512822,4.05,717.79,1.58516926383662,5.01465339985201,4362.111,22547.0,4289.638061974458,4.7
