realtime_start,realtime_end,date,value
2025-01-25,2025-01-25,1972-07-01,5752.679084228243
2025-01-25,2025-01-25,1972-10-01,5796.132944078367
2025-01-25,2025-01-25,1973-01-01,5841.03291586763
2025-01-25,2025-01-25,1973-04-01,5889.392812192868
2025-01-25,2025-01-25,1973-07-01,5939.380852894292
2025-01-25,2025-01-25,1973-10-01,5991.006667040293
2025-01-25,2025-01-25,1974-01-01,6043.397120672455
2025-01-25,2025-01-25,1974-04-01,6095.982936382176
2025-01-25,2025-01-25,1974-07-01,6147.694309144877
2025-01-25,2025-01-25,1974-10-01,6198.816224406326
2025-01-25,2025-01-25,1975-01-01,6248.917232720529
2025-01-25,2025-01-25,1975-04-01,6298.4327116076865
2025-01-25,2025-01-25,1975-07-01,6347.675316519736
2025-01-25,2025-01-25,1975-10-01,6396.919595825258
2025-01-25,2025-01-25,1976-01-01,6445.588479604985
2025-01-25,2025-01-25,1976-04-01,6494.429566085238
2025-01-25,2025-01-25,1976-07-01,6544.371352731758
2025-01-25,2025-01-25,1976-10-01,6594.937087377887
2025-01-25,2025-01-25,1977-01-01,6647.491698930122
2025-01-25,2025-01-25,1977-04-01,6701.716062884974
2025-01-25,2025-01-25,1977-07-01,6757.0967562431015
2025-01-25,2025-01-25,1977-10-01,6814.1531570700345
2025-01-25,2025-01-25,1978-01-01,6872.575345279892
2025-01-25,2025-01-25,1978-04-01,6931.925241334588
2025-01-25,2025-01-25,1978-07-01,6992.74508689625
2025-01-25,2025-01-25,1978-10-01,7054.840990784539
2025-01-25,2025-01-25,1979-01-01,7119.064398807631
2025-01-25,2025-01-25,1979-04-01,7181.644829231282
2025-01-25,2025-01-25,1979-07-01,7241.208245028411
2025-01-25,2025-01-25,1979-10-01,7296.781864358525
2025-01-25,2025-01-25,1980-01-01,7347.149549168098
2025-01-25,2025-01-25,1980-04-01,7391.46700811808
2025-01-25,2025-01-25,1980-07-01,7429.867945147332
2025-01-25,2025-01-25,1980-10-01,7470.008131567184
2025-01-25,2025-01-25,1981-01-01,7512.11129933645
2025-01-25,2025-01-25,1981-04-01,7560.539227980742
2025-01-25,2025-01-25,1981-07-01,7611.880792521194
2025-01-25,2025-01-25,1981-10-01,7666.119259547203
2025-01-25,2025-01-25,1982-01-01,7722.489798240562
2025-01-25,2025-01-25,1982-04-01,7780.375549942754
2025-01-25,2025-01-25,1982-07-01,7839.484376554082
2025-01-25,2025-01-25,1982-10-01,7899.930112733643
2025-01-25,2025-01-25,1983-01-01,7960.304811789574
2025-01-25,2025-01-25,1983-04-01,8022.2961828798
2025-01-25,2025-01-25,1983-07-01,8086.217728939871
2025-01-25,2025-01-25,1983-10-01,8152.89930992665
2025-01-25,2025-01-25,1984-01-01,8222.371869757519
2025-01-25,2025-01-25,1984-04-01,8294.655233715264
2025-01-25,2025-01-25,1984-07-01,8368.841866005307
2025-01-25,2025-01-25,1984-10-01,8444.488996893508
2025-01-25,2025-01-25,1985-01-01,8520.776500957843
2025-01-25,2025-01-25,1985-04-01,8597.529524582835
2025-01-25,2025-01-25,1985-07-01,8674.318459482858
2025-01-25,2025-01-25,1985-10-01,8750.702428211027
2025-01-25,2025-01-25,1986-01-01,8826.453132218017
2025-01-25,2025-01-25,1986-04-01,8901.68499377897
2025-01-25,2025-01-25,1986-07-01,8976.738814011691
2025-01-25,2025-01-25,1986-10-01,9051.447259571212
2025-01-25,2025-01-25,1987-01-01,9125.707602326183
2025-01-25,2025-01-25,1987-04-01,9199.50738407519
2025-01-25,2025-01-25,1987-07-01,9272.934427672935
2025-01-25,2025-01-25,1987-10-01,9346.699627107133
2025-01-25,2025-01-25,1988-01-01,9420.119450572343
2025-01-25,2025-01-25,1988-04-01,9494.034893815833
2025-01-25,2025-01-25,1988-07-01,9568.099297442566
2025-01-25,2025-01-25,1988-10-01,9642.593857538424
2025-01-25,2025-01-25,1989-01-01,9717.080217838988
2025-01-25,2025-01-25,1989-04-01,9791.538188786053
2025-01-25,2025-01-25,1989-07-01,9856.68941637144
2025-01-25,2025-01-25,1989-10-01,9932.27863322103
2025-01-25,2025-01-25,1990-01-01,10006.568518061174
2025-01-25,2025-01-25,1990-04-01,10079.193683426789
2025-01-25,2025-01-25,1990-07-01,10149.425927599625
2025-01-25,2025-01-25,1990-10-01,10217.225625724299
2025-01-25,2025-01-25,1991-01-01,10283.010879963522
2025-01-25,2025-01-25,1991-04-01,10346.859532717579
2025-01-25,2025-01-25,1991-07-01,10409.384121426967
2025-01-25,2025-01-25,1991-10-01,10471.642872616025
2025-01-25,2025-01-25,1992-01-01,10533.754722186617
2025-01-25,2025-01-25,1992-04-01,10596.596075537067
2025-01-25,2025-01-25,1992-07-01,10660.762526064991
2025-01-25,2025-01-25,1992-10-01,10725.823702416466
2025-01-25,2025-01-25,1993-01-01,10791.841303819188
2025-01-25,2025-01-25,1993-04-01,10859.658680230026
2025-01-25,2025-01-25,1993-07-01,10928.482735745143
2025-01-25,2025-01-25,1993-10-01,10998.28839890448
2025-01-25,2025-01-25,1994-01-01,11068.947189839353
2025-01-25,2025-01-25,1994-04-01,11140.343521101777
2025-01-25,2025-01-25,1994-07-01,11213.206264654
2025-01-25,2025-01-25,1994-10-01,11287.170028853692
2025-01-25,2025-01-25,1995-01-01,11361.822811563517
2025-01-25,2025-01-25,1995-04-01,11437.846726697
2025-01-25,2025-01-25,1995-07-01,11514.704122545112
2025-01-25,2025-01-25,1995-10-01,11593.611621701013
2025-01-25,2025-01-25,1996-01-01,11674.216233014653
2025-01-25,2025-01-25,1996-04-01,11760.113983771347
2025-01-25,2025-01-25,1996-07-01,11852.4657305572
2025-01-25,2025-01-25,1996-10-01,11951.077903825388
2025-01-25,2025-01-25,1997-01-01,12055.79474049288
2025-01-25,2025-01-25,1997-04-01,12165.991891986052
2025-01-25,2025-01-25,1997-07-01,12282.13962359006
2025-01-25,2025-01-25,1997-10-01,12403.091482098456
2025-01-25,2025-01-25,1998-01-01,12528.530888617106
2025-01-25,2025-01-25,1998-04-01,12658.992515858536
2025-01-25,2025-01-25,1998-07-01,12792.919917948158
2025-01-25,2025-01-25,1998-10-01,12930.454186030614
2025-01-25,2025-01-25,1999-01-01,13071.535334705317
2025-01-25,2025-01-25,1999-04-01,13215.180024333278
2025-01-25,2025-01-25,1999-07-01,13360.999676380283
2025-01-25,2025-01-25,1999-10-01,13508.997005238016
2025-01-25,2025-01-25,2000-01-01,13657.90971844553
2025-01-25,2025-01-25,2000-04-01,13802.557909996083
2025-01-25,2025-01-25,2000-07-01,13940.660485459983
2025-01-25,2025-01-25,2000-10-01,14071.40193345432
2025-01-25,2025-01-25,2001-01-01,14194.982061117891
2025-01-25,2025-01-25,2001-04-01,14311.539722786703
2025-01-25,2025-01-25,2001-07-01,14421.269310856645
2025-01-25,2025-01-25,2001-10-01,14525.225668496101
2025-01-25,2025-01-25,2002-01-01,14624.00334547519
2025-01-25,2025-01-25,2002-04-01,14719.438901074744
2025-01-25,2025-01-25,2002-07-01,14813.102098646215
2025-01-25,2025-01-25,2002-10-01,14905.535686049083
2025-01-25,2025-01-25,2003-01-01,14997.837108045062
2025-01-25,2025-01-25,2003-04-01,15090.807386325983
2025-01-25,2025-01-25,2003-07-01,15183.877363796682
2025-01-25,2025-01-25,2003-10-01,15278.388684793345
2025-01-25,2025-01-25,2004-01-01,15374.838882758811
2025-01-25,2025-01-25,2004-04-01,15472.994124038232
2025-01-25,2025-01-25,2004-07-01,15573.526926169097
2025-01-25,2025-01-25,2004-10-01,15675.558624075442
2025-01-25,2025-01-25,2005-01-01,15775.796136923085
2025-01-25,2025-01-25,2005-04-01,15873.169983958669
