realtime_start,realtime_end,date,value
2025-01-25,2025-01-25,1965-02-01,0
2025-01-25,2025-01-25,1965-03-01,0.320512820512822
2025-01-25,2025-01-25,1965-04-01,0.319488817891375
2025-01-25,2025-01-25,1965-05-01,0
2025-01-25,2025-01-25,1965-06-01,0.6369426751592379
2025-01-25,2025-01-25,1965-07-01,0
2025-01-25,2025-01-25,1965-08-01,0
2025-01-25,2025-01-25,1965-09-01,0
2025-01-25,2025-01-25,1965-10-01,0.316455696202533
2025-01-25,2025-01-25,1965-11-01,0
2025-01-25,2025-01-25,1965-12-01,0.315457413249213
2025-01-25,2025-01-25,1966-01-01,0
2025-01-25,2025-01-25,1966-02-01,0.628930817610066
2025-01-25,2025-01-25,1966-03-01,0.31250000000000105
2025-01-25,2025-01-25,1966-04-01,0.62305295950156
2025-01-25,2025-01-25,1966-05-01,0
2025-01-25,2025-01-25,1966-06-01,0.30959752321981604
2025-01-25,2025-01-25,1966-07-01,0.308641975308643
2025-01-25,2025-01-25,1966-08-01,0.6153846153846179
2025-01-25,2025-01-25,1966-09-01,0
2025-01-25,2025-01-25,1966-10-01,0.611620795107036
2025-01-25,2025-01-25,1966-11-01,0
2025-01-25,2025-01-25,1966-12-01,0
2025-01-25,2025-01-25,1967-01-01,0
2025-01-25,2025-01-25,1967-02-01,0
2025-01-25,2025-01-25,1967-03-01,0.303951367781156
2025-01-25,2025-01-25,1967-04-01,0.3030303030303039
2025-01-25,2025-01-25,1967-05-01,0.30211480362535903
2025-01-25,2025-01-25,1967-06-01,0.30120481927711
2025-01-25,2025-01-25,1967-07-01,0.30030030030030197
2025-01-25,2025-01-25,1967-08-01,0.299401197604792
2025-01-25,2025-01-25,1967-09-01,0.29850746268656797
2025-01-25,2025-01-25,1967-10-01,0.297619047619049
2025-01-25,2025-01-25,1967-11-01,0.29673590504451197
2025-01-25,2025-01-25,1967-12-01,0.295857988165682
2025-01-25,2025-01-25,1968-01-01,0.5899705014749289
2025-01-25,2025-01-25,1968-02-01,0.29325513196481107
2025-01-25,2025-01-25,1968-03-01,0.29239766081871504
2025-01-25,2025-01-25,1968-04-01,0.291545189504355
2025-01-25,2025-01-25,1968-05-01,0.290697674418606
2025-01-25,2025-01-25,1968-06-01,0.5797101449275389
