ConsumerPriceIndexAllItems,GDP,InflationConsumerPrice,MedianConsumerPriceIndex,RealGDP,RealGDPPerCapita,RealPotentialGDP,UnemployemenrRate
0.0,390.996,1.45797598627791,5.01465339985201,2880.482,17701.0,2923.9749179838946,5.8
0.0,390.996,1.45797598627791,5.01465339985201,2880.482,17701.0,2923.9749179838946,6.0
0.0,390.996,1.45797598627791,5.01465339985201,2880.482,17701.0,2923.9749179838946,6.1
0.0,399.734,1.45797598627791,5.01465339985201,2936.852,17960.0,2941.999752878005,5.7
0.0,399.734,1.45797598627791,5.01465339985201,2936.852,17960.0,2941.999752878005,5.3
0.0,399.734,1.45797598627791,5.01465339985201,2936.852,17960.0,2941.999752878005,5.0
0.0,413.073,1.45797598627791,5.01465339985201,3020.746,18396.0,2959.7761996380686,4.9
0.0,413.073,1.45797598627791,5.01465339985201,3020.746,18396.0,2959.7761996380686,4.7
0.0,413.073,1.45797598627791,5.01465339985201,3020.746,18396.0,2959.7761996380686,4.6
0.0,421.532,1.45797598627791,5.01465339985201,3069.91,18621.0,2979.062096651661,4.7
0.0,421.532,1.45797598627791,5.01465339985201,3069.91,18621.0,2979.062096651661,4.3
0.0,421.532,1.45797598627791,5.01465339985201,3069.91,18621.0,2979.062096651661,4.2
0.3745318352059939,430.221,1.45797598627791,5.01465339985201,3111.379,18787.0,2998.026311752977,4.0
0.0,430.221,1.45797598627791,5.01465339985201,3111.379,18787.0,2998.026311752977,4.2
0.37313432835821,430.221,1.45797598627791,5.01465339985201,3111.379,18787.0,2998.026311752977,4.1
0.0,437.092,1.45797598627791,5.01465339985201,3130.068,18808.0,3017.709772089412,4.3
0.0,437.092,1.45797598627791,5.01465339985201,3130.068,18808.0,3017.709772089412,4.2
-0.3717472118959121,437.092,1.45797598627791,5.01465339985201,3130.068,18808.0,3017.709772089412,4.2
0.0,439.746,1.45797598627791,5.01465339985201,3117.922,18658.0,3037.4598942797747,4.0
0.0,439.746,1.45797598627791,5.01465339985201,3117.922,18658.0,3037.4598942797747,3.9
0.0,439.746,1.45797598627791,5.01465339985201,3117.922,18658.0,3037.4598942797747,4.2
0.37313432835821,446.01,1.45797598627791,5.01465339985201,3143.694,18736.0,3056.686363127972,4.0
0.3717472118959121,446.01,1.45797598627791,5.01465339985201,3143.694,18736.0,3056.686363127972,4.3
0.740740740740744,446.01,1.45797598627791,5.01465339985201,3143.694,18736.0,3056.686363127972,4.3
0.73529411764705,451.191,1.45797598627791,5.01465339985201,3140.874,18632.0,3076.747558063285,4.4
-0.364963503649637,451.191,1.45797598627791,5.01465339985201,3140.874,18632.0,3076.747558063285,4.1
0.366300366300368,451.191,1.45797598627791,5.01465339985201,3140.874,18632.0,3076.747558063285,3.9
0.364963503649637,460.463,1.45797598627791,5.01465339985201,3192.57,18845.0,3098.079553748381,3.9
0.0,460.463,1.45797598627791,5.01465339985201,3192.57,18845.0,3098.079553748381,4.3
0.363636363636365,460.463,1.45797598627791,5.01465339985201,3192.57,18845.0,3098.079553748381,4.2
