antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'GDP_High'}),frozenset({'ConsumerPriceIndexAllItems_High'}),0.3404255319148936,0.3404255319148936,0.12174940898345153,0.3576388888888889,1.0505642361111112,1.0,0.00585986620391328,1.026797009775733,0.07297212652677729,0.21775898520084566,0.02609767025089608,0.3576388888888889
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'GDP_High'}),0.3404255319148936,0.3404255319148936,0.12174940898345153,0.3576388888888889,1.0505642361111112,1.0,0.00585986620391328,1.026797009775733,0.07297212652677729,0.21775898520084566,0.02609767025089608,0.3576388888888889
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'GDP_Medium'}),0.3404255319148936,0.32978723404255317,0.12293144208037825,0.3611111111111111,1.0949820788530467,1.0,0.010663447512700583,1.0490286771507864,0.1315136476426801,0.22462203023758096,0.046737213403880096,0.36693548387096775
frozenset({'GDP_Medium'}),frozenset({'ConsumerPriceIndexAllItems_High'}),0.32978723404255317,0.3404255319148936,0.12293144208037825,0.3727598566308244,1.0949820788530467,1.0,0.010663447512700583,1.0515501519756838,0.1294261294261296,0.22462203023758096,0.04902300844028216,0.36693548387096775
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'InflationConsumerPrice_High'}),0.3404255319148936,0.3404255319148936,0.2127659574468085,0.625,1.8359375,1.0,0.09687641466727026,1.7588652482269502,0.6903225806451614,0.45454545454545453,0.43145161290322587,0.625
frozenset({'InflationConsumerPrice_High'}),frozenset({'ConsumerPriceIndexAllItems_High'}),0.3404255319148936,0.3404255319148936,0.2127659574468085,0.625,1.8359375,1.0,0.09687641466727026,1.7588652482269502,0.6903225806451614,0.45454545454545453,0.43145161290322587,0.625
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'MedianConsumerPriceIndex_Medium'}),0.3404255319148936,0.6252955082742316,0.24113475177304963,0.7083333333333333,1.132797731568998,1.0,0.02826819576480058,1.2847011144883485,0.17773561037318164,0.33278955954323003,0.22160883280757088,0.5469833018273471
frozenset({'MedianConsumerPriceIndex_Medium'}),frozenset({'ConsumerPriceIndexAllItems_High'}),0.6252955082742316,0.3404255319148936,0.24113475177304963,0.3856332703213611,1.132797731568998,1.0,0.02826819576480058,1.0735842880523732,0.31285952866951217,0.33278955954323003,0.06854076468077326,0.5469833018273471
frozenset({'RealGDP_High'}),frozenset({'ConsumerPriceIndexAllItems_High'}),0.3404255319148936,0.3404255319148936,0.11938534278959811,0.3506944444444445,1.0301649305555556,1.0,0.003495800010059863,1.0158152235749232,0.04439476205685093,0.21263157894736845,0.01556899641577067,0.3506944444444445
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'RealGDP_High'}),0.3404255319148936,0.3404255319148936,0.11938534278959811,0.3506944444444445,1.0301649305555556,1.0,0.003495800010059863,1.0158152235749232,0.04439476205685093,0.21263157894736845,0.01556899641577067,0.3506944444444445
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'RealGDP_Medium'}),0.3404255319148936,0.32978723404255317,0.12529550827423167,0.3680555555555555,1.1160394265232976,1.0,0.013027513706554,1.060556464811784,0.15763846622032876,0.22993492407809105,0.057098765432098755,0.37399193548387094
