PC1,PC2,PC3,FEDRates,Cluster
-2.3043128514767623,-1.6362834770993755,0.256473161812442,1.73,3
-2.481669405092167,-0.3920381440322367,0.4220759306455681,1.17,3
-2.187691346024584,-2.237890220843186,0.0343726577405799,2.0,3
-2.381615275897303,-1.0053059382580682,0.2000016447576922,1.88,3
-2.264933293947897,-1.6120580395020585,0.0332088717126546,2.26,3
-2.261281639595347,-1.5989218965296974,-0.1888675568698341,2.61,3
-2.260368726007209,-1.595637860786607,-0.2443866640154561,2.33,3
-2.248130391651505,-1.5530376518132591,-0.34746483492131,2.15,3
-2.341736047997426,-0.9262829950345152,-0.4590591278413558,2.37,3
-2.24630456447523,-1.5464695803270785,-0.4585030492125544,2.85,3
-2.332788735768045,-0.9287411331548252,-0.403979243775897,2.78,3
-2.235851506123097,-1.540310136829814,-0.5142787780146956,2.36,3
-2.235851506123097,-1.540310136829814,-0.5142787780146956,2.68,3
-2.318003200243595,-0.920357907313889,-0.5155690448403089,2.71,3
-2.2250355862626434,-1.5430271167446228,-0.4036107583539265,2.93,3
-2.319513164862955,-0.928948477487204,-0.4047110253838852,2.9,3
-2.2182560579102084,-1.5320684967225895,-0.5702228496476998,2.9,3
-2.220994798674621,-1.5419206039518605,-0.4036655282108334,2.94,3
-2.219168971498346,-1.5353525324656798,-0.5147037425020777,2.93,3
-2.211273988968012,-1.5285036592687575,-0.4012881509520768,2.92,3
-2.213099816144287,-1.5350717307549382,-0.2902499366608325,3.0,3
-2.306350696642683,-0.9197182485291462,-0.3470483201788987,2.98,3
-2.198983499386036,-1.5247633059632266,-0.4016336606210985,2.9,3
-2.200809326562311,-1.5313313774494073,-0.2905954463298541,3.0,3
-2.2928355665621605,-0.9146898772206544,-0.4030907725042745,2.99,3
-2.269957165266161,-0.909664708280523,-0.4039978692316958,3.02,3
-2.1736760468052454,-1.5079030579212755,-0.5689214055982539,3.49,3
-2.174588960393383,-1.511187093664366,-0.5134022984526319,3.48,3
-2.261032963277855,-0.9060813138144348,-0.4599239502350846,3.5,3
-2.1687111711280718,-1.515485752938537,-0.4025955357974107,3.48,3
-2.260727289189134,-0.908038574748325,-0.4600983327021417,3.38,3
-2.1472473572569277,-1.4957629527595184,-0.456238483980439,3.48,3
-2.145421530080652,-1.4891948812733378,-0.5672766982716828,3.48,3
-2.145421530080652,-1.4891948812733378,-0.5672766982716828,3.43,3
-2.1318439169679864,-1.482060947269524,-0.623156381408724,3.47,3
-2.130018089791711,-1.4754928757833434,-0.7341945956999684,3.5,3
-2.224469253001532,-0.8798423974007323,-0.6253133249457824,3.5,3
-2.2039368012008294,-0.8665446688726527,-0.7925990424400382,3.42,3
-2.0186764839866105,-2.061914017146257,-0.8432889614606196,3.5,3
-2.205762628377105,-0.8731127403588334,-0.6815608281487943,3.45,3
-2.107939339711451,-1.4688459281429207,-0.7348326412775232,3.36,3
-2.198137316416807,-0.863910975689117,-0.8483709641451128,3.52,3
-2.1070264261233134,-1.4655618923998304,-0.7903517484231453,3.85,3
-2.0956193596912054,-1.3805176110455413,-0.8263693567630376,3.9,3
-2.0974451868674806,-1.387085682531722,-0.7153311424717936,3.98,3
-2.186432375890251,-0.7807740111464062,-0.8845585051727237,4.05,3
-2.171563927612672,-0.7812098847228484,-0.8296856429291237,4.09,3
-2.077395227806684,-1.3659222121658745,-0.9934040762460749,4.1,3
-2.261492801902863,-0.1871275314980933,-0.8883791809910038,4.05,3
-2.0498857324538458,-1.3513766715687523,-1.1053027618886226,4.09,3
-2.0498857324538458,-1.3513766715687523,-1.1053027618886226,4.12,3
