antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'FEDRates_High'}),0.3333333333333333,0.3333333333333333,0.1690307328605201,0.5070921985815603,1.521276595744681,1.0,0.057919621749408984,1.352517985611511,0.513986013986014,0.339667458432304,0.26063829787234044,0.5070921985815603
frozenset({'FEDRates_High'}),frozenset({'ConsumerPriceIndexAllItems_High'}),0.3333333333333333,0.3333333333333333,0.1690307328605201,0.5070921985815603,1.521276595744681,1.0,0.057919621749408984,1.352517985611511,0.513986013986014,0.339667458432304,0.26063829787234044,0.5070921985815603
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'InflationConsumerPrice_High'}),0.3333333333333333,0.3262411347517731,0.20212765957446807,0.6063829787234043,1.858695652173913,1.0,0.09338061465721038,1.7117117117117118,0.6929824561403507,0.4418604651162791,0.41578947368421054,0.6129740980573543
frozenset({'InflationConsumerPrice_High'}),frozenset({'ConsumerPriceIndexAllItems_High'}),0.3262411347517731,0.3333333333333333,0.20212765957446807,0.6195652173913042,1.8586956521739126,1.0,0.09338061465721038,1.752380952380952,0.6856879039704523,0.4418604651162791,0.4293478260869563,0.6129740980573543
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'MedianConsumerPriceIndex_Medium'}),0.3333333333333333,0.6217494089834515,0.23522458628841608,0.7056737588652483,1.134980988593156,1.0,0.027974783293932243,1.2851405622489962,0.17839195979899503,0.32676518883415434,0.22187500000000018,0.5420003775314834
frozenset({'ConsumerPriceIndexAllItems_Low'}),frozenset({'FEDRates_Low'}),0.3333333333333333,0.3333333333333333,0.17257683215130024,0.5177304964539008,1.5531914893617025,1.0,0.06146572104018913,1.382352941176471,0.5342465753424658,0.34928229665071775,0.2765957446808512,0.5177304964539008
frozenset({'FEDRates_Low'}),frozenset({'ConsumerPriceIndexAllItems_Low'}),0.3333333333333333,0.3333333333333333,0.17257683215130024,0.5177304964539008,1.5531914893617025,1.0,0.06146572104018913,1.382352941176471,0.5342465753424658,0.34928229665071775,0.2765957446808512,0.5177304964539008
frozenset({'ConsumerPriceIndexAllItems_Low'}),frozenset({'InflationConsumerPrice_Low'}),0.3333333333333333,0.3333333333333333,0.19148936170212766,0.574468085106383,1.723404255319149,1.0,0.08037825059101655,1.566666666666667,0.6296296296296295,0.4029850746268657,0.36170212765957455,0.574468085106383
frozenset({'InflationConsumerPrice_Low'}),frozenset({'ConsumerPriceIndexAllItems_Low'}),0.3333333333333333,0.3333333333333333,0.19148936170212766,0.574468085106383,1.723404255319149,1.0,0.08037825059101655,1.566666666666667,0.6296296296296295,0.4029850746268657,0.36170212765957455,0.574468085106383
frozenset({'ConsumerPriceIndexAllItems_Medium'}),frozenset({'MedianConsumerPriceIndex_Medium'}),0.3333333333333333,0.6217494089834515,0.2222222222222222,0.6666666666666666,1.0722433460076044,1.0,0.01497241922773837,1.1347517730496453,0.101063829787234,0.30322580645161284,0.11874999999999988,0.5120405576679341
