,date,value
0,1960-01-01,1.45797598627791
1,1961-01-01,1.07072414764724
2,1962-01-01,1.19877334820186
3,1963-01-01,1.23966942148753
4,1964-01-01,1.27891156462591
5,1965-01-01,1.58516926383662
6,1966-01-01,3.0150753768844
7,1967-01-01,2.77278562259309
8,1968-01-01,4.27179615288537
9,1969-01-01,5.46238620028745
10,1970-01-01,5.83825533848251
11,1971-01-01,4.29276668813051
12,1972-01-01,3.27227824655283
13,1973-01-01,6.17776006377038
14,1974-01-01,11.0548048048048
15,1975-01-01,9.14314686496535
16,1976-01-01,5.74481263549085
17,1977-01-01,6.5016839947284
18,1978-01-01,7.63096383885606
19,1979-01-01,11.2544711292795
20,1980-01-01,13.5492019749684
21,1981-01-01,10.3347153402771
22,1982-01-01,6.13142700027493
23,1983-01-01,3.21243523316065
24,1984-01-01,4.30053547523429
25,1985-01-01,3.54564415209365
26,1986-01-01,1.89804772234276
27,1987-01-01,3.6645632175169
28,1988-01-01,4.07774110744413
29,1989-01-01,4.82700303008944
30,1990-01-01,5.39795643990325
31,1991-01-01,4.23496396453849
32,1992-01-01,3.02881967814969
33,1993-01-01,2.95165696638559
34,1994-01-01,2.60744159215453
35,1995-01-01,2.80541968853662
36,1996-01-01,2.93120419993441
37,1997-01-01,2.33768993730735
38,1998-01-01,1.55227909874364
39,1999-01-01,2.18802719697358
40,2000-01-01,3.37685727149929
41,2001-01-01,2.82617111885407
42,2002-01-01,1.58603162650601
43,2003-01-01,2.27009497336115
44,2004-01-01,2.67723669309172
45,2005-01-01,3.3927468454955
46,2006-01-01,3.22594410070404
47,2007-01-01,2.85267248150138
48,2008-01-01,3.839100296651
49,2009-01-01,-0.355546266299747
50,2010-01-01,1.6400434423899
51,2011-01-01,3.156841568622
52,2012-01-01,2.06933726526067
53,2013-01-01,1.46483265562717
54,2014-01-01,1.62222297740817
55,2015-01-01,0.118627135552451
56,2016-01-01,1.26158320570536
57,2017-01-01,2.13011000365961
58,2018-01-01,2.44258329692817
59,2019-01-01,1.81221007526021
60,2020-01-01,1.23358439630629
61,2021-01-01,4.69785886363742
62,2022-01-01,8.00279982052121
63,2023-01-01,4.11633838374488
