,date,value
544,1999-11-01,5.42
545,1999-12-01,5.3
546,2000-01-01,5.45
547,2000-02-01,5.73
548,2000-03-01,5.85
549,2000-04-01,6.02
550,2000-05-01,6.27
551,2000-06-01,6.53
552,2000-07-01,6.54
553,2000-08-01,6.5
554,2000-09-01,6.52
555,2000-10-01,6.51
556,2000-11-01,6.51
557,2000-12-01,6.4
558,2001-01-01,5.98
559,2001-02-01,5.49
560,2001-03-01,5.31
561,2001-04-01,4.8
562,2001-05-01,4.21
563,2001-06-01,3.97
564,2001-07-01,3.77
565,2001-08-01,3.65
566,2001-09-01,3.07
567,2001-10-01,2.49
568,2001-11-01,2.09
569,2001-12-01,1.82
570,2002-01-01,1.73
571,2002-02-01,1.74
572,2002-03-01,1.73
573,2002-04-01,1.75
574,2002-05-01,1.75
575,2002-06-01,1.75
576,2002-07-01,1.73
577,2002-08-01,1.74
578,2002-09-01,1.75
579,2002-10-01,1.75
580,2002-11-01,1.34
581,2002-12-01,1.24
582,2003-01-01,1.24
583,2003-02-01,1.26
584,2003-03-01,1.25
585,2003-04-01,1.26
586,2003-05-01,1.26
587,2003-06-01,1.22
588,2003-07-01,1.01
589,2003-08-01,1.03
590,2003-09-01,1.01
591,2003-10-01,1.01
592,2003-11-01,1.0
593,2003-12-01,0.98
594,2004-01-01,1.0
595,2004-02-01,1.01
596,2004-03-01,1.0
597,2004-04-01,1.0
598,2004-05-01,1.0
599,2004-06-01,1.03
600,2004-07-01,1.26
601,2004-08-01,1.43
602,2004-09-01,1.61
603,2004-10-01,1.76
604,2004-11-01,1.93
605,2004-12-01,2.16
606,2005-01-01,2.28
607,2005-02-01,2.5
608,2005-03-01,2.63
609,2005-04-01,2.79
610,2005-05-01,3.0
611,2005-06-01,3.04
612,2005-07-01,3.26
613,2005-08-01,3.5
614,2005-09-01,3.62
615,2005-10-01,3.78
616,2005-11-01,4.0
617,2005-12-01,4.16
618,2006-01-01,4.29
619,2006-02-01,4.49
620,2006-03-01,4.59
621,2006-04-01,4.79
622,2006-05-01,4.94
623,2006-06-01,4.99
624,2006-07-01,5.24
625,2006-08-01,5.25
626,2006-09-01,5.25
627,2006-10-01,5.25
628,2006-11-01,5.25
629,2006-12-01,5.24
630,2007-01-01,5.25
631,2007-02-01,5.26
632,2007-03-01,5.26
633,2007-04-01,5.25
634,2007-05-01,5.25
635,2007-06-01,5.25
636,2007-07-01,5.26
637,2007-08-01,5.02
638,2007-09-01,4.94
639,2007-10-01,4.76
640,2007-11-01,4.49
641,2007-12-01,4.24
642,2008-01-01,3.94
643,2008-02-01,2.98
644,2008-03-01,2.61
645,2008-04-01,2.28
646,2008-05-01,1.98
647,2008-06-01,2.0
648,2008-07-01,2.01
649,2008-08-01,2.0
650,2008-09-01,1.81
651,2008-10-01,0.97
652,2008-11-01,0.39
653,2008-12-01,0.16
654,2009-01-01,0.15
655,2009-02-01,0.22
656,2009-03-01,0.18
657,2009-04-01,0.15
658,2009-05-01,0.18
659,2009-06-01,0.21
660,2009-07-01,0.16
661,2009-08-01,0.16
662,2009-09-01,0.15
663,2009-10-01,0.12
664,2009-11-01,0.12
665,2009-12-01,0.12
666,2010-01-01,0.11
667,2010-02-01,0.13
668,2010-03-01,0.16
669,2010-04-01,0.2
670,2010-05-01,0.2
671,2010-06-01,0.18
672,2010-07-01,0.18
673,2010-08-01,0.19
674,2010-09-01,0.19
675,2010-10-01,0.19
676,2010-11-01,0.19
677,2010-12-01,0.18
678,2011-01-01,0.17
679,2011-02-01,0.16
680,2011-03-01,0.14
681,2011-04-01,0.1
682,2011-05-01,0.09
683,2011-06-01,0.09
684,2011-07-01,0.07
685,2011-08-01,0.1
686,2011-09-01,0.08
687,2011-10-01,0.07
688,2011-11-01,0.08
689,2011-12-01,0.07
690,2012-01-01,0.08
691,2012-02-01,0.1
692,2012-03-01,0.13
693,2012-04-01,0.14
694,2012-05-01,0.16
695,2012-06-01,0.16
696,2012-07-01,0.16
697,2012-08-01,0.13
698,2012-09-01,0.14
699,2012-10-01,0.16
700,2012-11-01,0.16
701,2012-12-01,0.16
702,2013-01-01,0.14
703,2013-02-01,0.15
704,2013-03-01,0.14
705,2013-04-01,0.15
706,2013-05-01,0.11
707,2013-06-01,0.09
708,2013-07-01,0.09
709,2013-08-01,0.08
710,2013-09-01,0.08
711,2013-10-01,0.09
712,2013-11-01,0.08
713,2013-12-01,0.09
714,2014-01-01,0.07
715,2014-02-01,0.07
716,2014-03-01,0.08
717,2014-04-01,0.09
718,2014-05-01,0.09
719,2014-06-01,0.1
720,2014-07-01,0.09
721,2014-08-01,0.09
722,2014-09-01,0.09
723,2014-10-01,0.09
724,2014-11-01,0.09
725,2014-12-01,0.12
726,2015-01-01,0.11
727,2015-02-01,0.11
728,2015-03-01,0.11
729,2015-04-01,0.12
730,2015-05-01,0.12
731,2015-06-01,0.13
732,2015-07-01,0.13
733,2015-08-01,0.14
734,2015-09-01,0.14
735,2015-10-01,0.12
736,2015-11-01,0.12
737,2015-12-01,0.24
738,2016-01-01,0.34
739,2016-02-01,0.38
740,2016-03-01,0.36
741,2016-04-01,0.37
742,2016-05-01,0.37
743,2016-06-01,0.38
744,2016-07-01,0.39
745,2016-08-01,0.4
746,2016-09-01,0.4
747,2016-10-01,0.4
748,2016-11-01,0.41
749,2016-12-01,0.54
750,2017-01-01,0.65
751,2017-02-01,0.66
752,2017-03-01,0.79
753,2017-04-01,0.9
754,2017-05-01,0.91
755,2017-06-01,1.04
756,2017-07-01,1.15
757,2017-08-01,1.16
758,2017-09-01,1.15
759,2017-10-01,1.15
760,2017-11-01,1.16
761,2017-12-01,1.3
762,2018-01-01,1.41
763,2018-02-01,1.42
764,2018-03-01,1.51
765,2018-04-01,1.69
766,2018-05-01,1.7
767,2018-06-01,1.82
768,2018-07-01,1.91
769,2018-08-01,1.91
770,2018-09-01,1.95
771,2018-10-01,2.19
772,2018-11-01,2.2
773,2018-12-01,2.27
774,2019-01-01,2.4
775,2019-02-01,2.4
776,2019-03-01,2.41
777,2019-04-01,2.42
778,2019-05-01,2.39
779,2019-06-01,2.38
780,2019-07-01,2.4
781,2019-08-01,2.13
782,2019-09-01,2.04
783,2019-10-01,1.83
784,2019-11-01,1.55
785,2019-12-01,1.55
786,2020-01-01,1.55
787,2020-02-01,1.58
788,2020-03-01,0.65
789,2020-04-01,0.05
790,2020-05-01,0.05
791,2020-06-01,0.08
792,2020-07-01,0.09
793,2020-08-01,0.1
794,2020-09-01,0.09
795,2020-10-01,0.09
796,2020-11-01,0.09
797,2020-12-01,0.09
798,2021-01-01,0.09
799,2021-02-01,0.08
800,2021-03-01,0.07
801,2021-04-01,0.07
802,2021-05-01,0.06
803,2021-06-01,0.08
804,2021-07-01,0.1
805,2021-08-01,0.09
806,2021-09-01,0.08
807,2021-10-01,0.08
808,2021-11-01,0.08
809,2021-12-01,0.08
810,2022-01-01,0.08
811,2022-02-01,0.08
812,2022-03-01,0.2
813,2022-04-01,0.33
814,2022-05-01,0.77
815,2022-06-01,1.21
816,2022-07-01,1.68
817,2022-08-01,2.33
818,2022-09-01,2.56
819,2022-10-01,3.08
820,2022-11-01,3.78
821,2022-12-01,4.1
822,2023-01-01,4.33
823,2023-02-01,4.57
824,2023-03-01,4.65
825,2023-04-01,4.83
826,2023-05-01,5.06
827,2023-06-01,5.08
828,2023-07-01,5.12
829,2023-08-01,5.33
830,2023-09-01,5.33
831,2023-10-01,5.33
832,2023-11-01,5.33
833,2023-12-01,5.33
834,2024-01-01,5.33
835,2024-02-01,5.33
836,2024-03-01,5.33
837,2024-04-01,5.33
838,2024-05-01,5.33
839,2024-06-01,5.33
840,2024-07-01,5.33
841,2024-08-01,5.33
842,2024-09-01,5.13
843,2024-10-01,4.83
844,2024-11-01,4.64
845,2024-12-01,4.48
